#;$id;label;alt label
type;url;string;string
lang;;en;en
url;skos:Concept;skos:prefLabel;skos:altLabel
;;Délai indexation moteur de recherche internet - 120 ans- Vie privée;Vie privée
;;Délai indexation moteur de recherche internet - 120 ans- Mariage;Mariage
;;Délai indexation moteur de recherche internet - 120 ans- Naissance;Naissance
;;Délai indexation moteur de recherche internet - 120 ans- Décès;Décès
;;Délai indexation moteur de recherche internet - 120 ans- Tables décennales;Tables décennales
;;Délai indexation moteur de recherche - 120 ans- Vie privée;Vie privée
;;Délai indexation moteur de recherche -100 ans- Mariage;Mariage
;;Délai indexation moteur de recherche -120 ans- Naissance;Naissance
;;Délai indexation moteur de recherche -75 ans- Décès;Décès
;;Délai indexation moteur de recherche -Selon NMD- Tables décennales;Tables décennales
;;Délai mise en ligne - 50 ans- Vie privée;Vie privée
;;Délai mise en ligne - 75 ans- Mariage;Mariage
;;Délai mise en ligne - 75 ans sans mention marginale / 100 ans- Naissance;Naissance
;;Délai mise en ligne - 25 ans- Décès;Décès
;;Délai mise en ligne - Selon NMD- Tables décennales;Tables décennales
;;Délai mise en ligne - 150 ans- Affaires portées devant les juridictions;Affaires portées devant les juridictions
;;Délai mise en ligne - 150 ans- Secret médical;Secret médical
;;Délai mise en ligne - 150 ans- Données sensibles (loi CNIL);Données sensibles (loi CNIL)
