#;$id;Libellé SEDA 2;Libellé SEDA antérieur;Libellé français;Définition
type;url;string;string;string;string
lang;;seda-2;seda;fr;fr
url;skos:Concept;skos:prefLabel;skos:prefLabel;skos:prefLabel;skos:definition
;;Class ;class ;Classe;Cette valeur, issue de la tradition archivistique allemande, ne correspond pas pour l'instant aux pratiques archivistiques françaises
;;Collection ;collection ;Collection;Réunion artificielle de documents en fonction de critères communs liés à  leur contenu ou à leur support, sans considération de leur provenance, par opposition au fonds d'archives constitué de façon organique
;;File ;file ;Dossier;Ensemble de documents regroupés, soit par le producteur pour son usage courant, soit dans le processus du classement d'archives, parce qu'ils concernent un même sujet ou une même affaire. Le dossier est ordinairement l'unité de base à l'intérieur d'une série organique
;;Fonds ;fonds ;Fonds ;Ensemble de documents quels que soit leur type et leur support, créé ou reçu de manière organique et utilisé par une personne physique ou morale dans l'exercice de ses activités
;;Item ;item ;Pièce;Plus petite unité documentaire, par exemple une lettre, un mémoire, un rapport, une photographie, un enregistrement sonore
;;RecordGrp ;recordgrp ;Groupe de documents;Niveau de description intermédiaire qui ne correspond pas à une division organique (sous-fonds, série ou sous-série organique). Parties au sein d'une collection, versements, épaves d'un fonds, subdivisions de fonds dont on ne connait pas la nature exacte, sous-ensemble classés thématiquement
;;Series ;series ;Série organique ;Division organique d'un fonds, correspondant à un ensemble de dossiers maintenus groupés parce qu'ils résultent d'une même activité, se rapportent à une même fonction ou à un même sujet ou revêtent une même forme
;;Subfonds ;subfonds ;Sous-fonds;Division organique d'un fonds correspondant aux divisions administratives de l'institution ou de l'organisme producteur, ou, à défaut, à un regroupement géographique, chronologique, fonctionnel ou autre des documents. Quand le producteur a une structure hiérarchique complexe , chaque sous-fonds est lui-même subdivisé, autant que nécessaire pour refléter les niveaux hiérarchiques
;;SubGrp ;subgrp ;Sous-groupe de documents;Subdivision du groupe de documents
;;Subseries ;subseries ;Sous-série organique;Subdivision de la série organique
