#;$id;libellé SEDA;libellé SEDA 0.2;libellé anglais
type;url;string;string;string
lang;;seda;seda-02;en
url;skos:Concept;skos:prefLabel;skos:prefLabel;skos:prefLabel
;;ita;it;Italian
;;ewe;ee;Ewe
;;isl;is;Icelandic
;;afr;af;Afrikaans
;;ces;cs;Czech
;;bel;be;Belarusian
;;lav;lv;Latvian
;;vie;vi;Vietnamese
;;amh;am;Amharic
;;hun;hu;Hungarian
;;ava;av;Avaric
;;ssw;ss;Swati
;;cor;kw;Cornish
;;ben;bn;Bengali
;;slv;sl;Slovenian
;;ipk;ik;Inupiaq
;;som;so;Somali
;;rus;ru;Russian
;;wol;wo;Wolof
;;kur;ku;Kurdish
;;san;sa;Sanskrit
;;smo;sm;Samoan
;;jav;jv;Javanese
;;kaz;kk;Kazakh
;;mal;ml;Malayalam
;;ori;or;Oriya
;;aar;aa;Afar
;;bak;ba;Bashkir
;;glv;gv;Manx
;;dan;da;Danish
;;nau;na;Nauru
;;asm;as;Assamese
;;gle;ga;Irish
;;srd;sc;Sardinian
;;che;ce;Chechen
;;ful;ff;Fulah
;;lub;lu;Luba-Katanga
;;guj;gu;Gujarati
;;her;hz;Herero
;;epo;eo;Esperanto
;;kin;rw;Kinyarwanda
;;mlt;mt;Maltese
;;oji;oj;Ojibwa
;;ven;ve;Venda
;;wln;wa;Walloon
;;kat;ka;Georgian
;;lat;la;Latin
;;pli;pi;Pali
;;mlg;mg;Malagasy
;;ukr;uk;Ukrainian
;;yid;yi;Yiddish
;;lit;lt;Lithuanian
;;tso;ts;Tsonga
;;kas;ks;Kashmiri
;;ara;ar;Arabic
;;ton;to;Tonga (Tonga Islands)
;;zul;zu;Zulu
;;aka;ak;Akan
;;twi;tw;Twi
;;fry;fy;Western Frisian
;;cym;cy;Welsh
;;ave;ae;Avestan
;;glg;gl;Galician
;;tam;ta;Tamil
;;jpn;ja;Japanese
;;kau;kr;Kanuri
;;uzb;uz;Uzbek
;;ind;id;Indonesian
;;aze;az;Azerbaijani
;;mya;my;Burmese
;;est;et;Estonian
;;fao;fo;Faroese
;;cos;co;Corsican
;;srp;sr;Serbian
;;tir;ti;Tigrinya
;;pol;pl;Polish
;;nep;ne;Nepali
;;tsn;tn;Tswana
;;fij;fj;Fijian
;;deu;de;German
;;tur;tr;Turkish
;;slk;sk;Slovak
;;arg;an;Aragonese
;;kan;kn;Kannada
;;cha;ch;Chamorro
;;cre;cr;Cree
;;bod;bo;Tibetan
;;tat;tt;Tatar
;;grn;gn;Guarani
;;kor;ko;Korean
;;ndo;ng;Ndonga
;;lug;lg;Ganda
;;oci;oc;Occitan (post 1500)
;;orm;om;Oromo
;;bis;bi;Bislama
;;sqi;sq;Albanian
;;mkd;mk;Macedonian
;;ina;ia;Interlingua (International Auxiliary Language Association)
;;fin;fi;Finnish
;;run;rn;Rundi
;;mon;mn;Mongolian
;;lin;ln;Lingala
;;urd;ur;Urdu
;;hau;ha;Hausa
;;sme;se;Northern Sami
;;tha;th;Thai
;;bos;bs;Bosnian
;;fra;fr;French
;;snd;sd;Sindhi
;;tuk;tk;Turkmen
;;sag;sg;Sango
;;khm;km;Central Khmer
;;bul;bg;Bulgarian
;;roh;rm;Romansh
;;sna;sn;Shona
;;iku;iu;Inuktitut
;;tel;te;Telugu
;;que;qu;Quechua
;;tgk;tg;Tajik
;;mah;mh;Marshallese
;;kon;kg;Kongo
;;sun;su;Sundanese
;;hrv;hr;Croatian
;;fas;fa;Persian
;;yor;yo;Yoruba
;;bam;bm;Bambara
;;dzo;dz;Dzongkha
;;tah;ty;Tahitian
;;ido;io;Ido
;;chv;cv;Chuvash
;;mar;mr;Marathi
;;hye;hy;Armenian
;;swe;sv;Swedish
;;nor;no;Norwegian
;;por;pt;Portuguese
;;xho;xh;Xhosa
;;tgl;tl;Tagalog
;;zho;zh;Chinese
;;eus;eu;Basque
;;bre;br;Breton
;;kom;kv;Komi
;;hin;hi;Hindi
;;eng;en;English
;;hmo;ho;Hiri Motu
;;aym;ay;Aymara
;;abk;ab;Abkhazian
;;lao;lo;Lao
;;mri;mi;Maori
;;heb;he;Hebrew
;;ibo;ig;Igbo
;;spa;es;Spanish
;;ell;el;Modern Greek (1453-)
