"id",attribute_line_ids/id,categ_id/id
SenseMinuts1GB_product_template,SenseMinuts1GB_product_template_attribute_line,somconnexio.mobile_service
100Min1GB_product_template,100Min1GB_product_template_attribute_line,somconnexio.mobile_service
200Min1GB_product_template,200Min1GB_product_template_attribute_line,somconnexio.mobile_service
TrucadesIllimitadesSenseDades_product_template,TrucadesIllimitadesSenseDades_product_template_attribute_line,somconnexio.mobile_service
"ADSL20MB100MinFixMobile_product_template",ADSL20MB100MinFixMobile_product_template_attribute_line,somconnexio.broadband_adsl_service
"Fibra100Mb_product_template",Fibra100Mb_product_template_attribute_line,somconnexio.broadband_fiber_service
"DadesAddicionals100MB_product_template",DadesAddicionals100MB_product_template_attribute_line,somconnexio.mobile_oneshot_service
"Internacional100Min_product_template",Internacional100Min_product_template_attribute_line,somconnexio.mobile_additional_service
"SMSMassius500SMS_product_template",SMSMassius500SMS_product_template_attribute_line,somconnexio.mobile_oneshot_service
"AltaParellExistent_product_template",,somconnexio.broadband_oneshot_service
"EnviamentRouter_product_template",,somconnexio.mobile_oneshot_service
"EnviamentSIM_product_template",,somconnexio.mobile_oneshot_service
"IPv4Fixa_product_template",,somconnexio.broadband_additional_service
"RecollidaRouter_product_template",,somconnexio.broadband_oneshot_service
